X,Y,FID,Bundesland,Name,Baujahr,Gesamtleistung__MW_,Anzahl,Typ__WKA_,Ort,Landkreis,Breitengrad,Längengrad,Projektierer___Betreiber,Bemerkungen
10.966666667,54.326944444,114,Schleswig-Holstein,Windpark Bollbrügge,2002,,,AN Bonus 2000/76 (1×),,,54.3269444444445,10.9666666666667,,
10.981944444,54.326388889,115,Schleswig-Holstein,Windkraftanlagen Meeschendorf,1995,"1,0",2,Enercon E-40/5.40(2×),Meeschendorf,OH,54.3263888888889,10.9819444444444,,
12.737361111,54.319638889,116,Mecklenburg-Vorpommern,Windkraftanlagen Kenz,1994,"1,0",1,Vestas V39-500kW(2×),Kenz,VR,54.3196388888889,12.7373611111111,,
10.90375,54.31625,117,Schleswig-Holstein,Windkraftanlagen Jahnshof,1993,"0,825",2,Vestas V27-225kW(1×),Jahnshof,OH,54.31625,10.90375,,
10.90375,54.31625,118,Schleswig-Holstein,Windkraftanlagen Jahnshof,1995,,,Vestas V44-600kW(1×),,,54.31625,10.90375,,
11.0668055560001,54.3122222220001,119,Schleswig-Holstein,Windkraftanlage Sahna,1991,"0,15",1,AN Bonus 150/30 (1×),Sahna,OH,54.3122222222222,11.0668055555556,,
11.06,54.3077777780001,120,Schleswig-Holstein,Windkraftanlagen Kraksdorf,1995,"1,0",2,Enercon E-40/5.40(2×),Kraksdorf,OH,54.3077777777778,11.06,,
11.06,54.3077777780001,121,Schleswig-Holstein,Windkraftanlagen Kraksdorf,1997,,,,,,54.3077777777778,11.06,,
9.54027777800007,54.3036111110001,122,Schleswig-Holstein,Windpark Havetoft-Klappholz,2002,"16,9",10,REpower MD70(7×),Havetoft,SL,54.3036111111111,9.54027777777778,Denker & Wulf,
9.54027777800007,54.3036111110001,123,Schleswig-Holstein,Windpark Havetoft-Klappholz,2003,,,REpower MM82(2×),Klappholz,,54.3036111111111,9.54027777777778,,
9.54027777800007,54.3036111110001,124,Schleswig-Holstein,Windpark Havetoft-Klappholz,2011,,,Enercon E-70(1×),,,54.3036111111111,9.54027777777778,,
9.54027777800007,54.3036111110001,125,Schleswig-Holstein,Windpark Havetoft-Klappholz,2015,,,,,,54.3036111111111,9.54027777777778,,
10.956111111,54.3013888890001,126,Schleswig-Holstein,Windpark Kremsdorf,2001,"16,7",9,Enercon E-66/18.70(8×),Kremsdorf,OH,54.3013888888889,10.9561111111111,"BAUUNION Wismar, WP Kremsdorf",
10.956111111,54.3013888890001,127,Schleswig-Holstein,Windpark Kremsdorf,2009,,,Enercon E-70(1×),,,54.3013888888889,10.9561111111111,,
13.260166667,54.296527778,128,Mecklenburg-Vorpommern,Windkraftanlagen Luppath,1994,"0,2",2,Ventis 20-100(1×),Luppath,VR,54.2965277777778,13.2601666666667,,Zweiflügler
11.0293055560001,54.29125,129,Schleswig-Holstein,Windpark Görtzer Kamp,2001,"7,2",4,Enercon E-66/18.70(4×),Heringsdorf,OH,54.29125,11.0293055555556,WP Görtzer Kamp,
13.0192222220001,54.2883055560001,130,Mecklenburg-Vorpommern,Windpark Lüssow,1995,"4,5",9,Enercon E-40/5.40(9×),Lüssow,VR,54.2883055555556,13.0192222222222,WP Lüssow,
11.0047222220001,54.283333333,131,Schleswig-Holstein,Windpark Kalkberg,2000,"2,64",4,Vestas V47-660kW(4×),Heringsdorf,OH,54.2833333333333,11.0047222222222,WP Kalkberg,
10.825,54.280833333,132,Schleswig-Holstein,Windpark Ehlerstorf,1999,"9,1",5,Enercon E-66/15.66(3×),Ehlerstorf,OH,54.2808333333333,10.825,Windenergie Ehlerstorf,
10.825,54.280833333,133,Schleswig-Holstein,Windpark Ehlerstorf,2010,,,Enercon E-70(2×),,,54.2808333333333,10.825,,
13.07475,54.277027778,134,Mecklenburg-Vorpommern,Windkraftanlage Groß Lüdershagen,1995,"0,3",1,Nordtank NTK 300/31(1×),Groß Lüdershagen,VR,54.2770277777778,13.07475,Fleischerei Zahlmann,Eigenversorgung des Betriebes
11.068194444,54.276666667,135,Schleswig-Holstein,Windkraftanlage Süssau,1994,"0,3",1,Nordtank NTK 300/31(1×),Süssau,OH,54.2766666666667,11.0681944444444,,
10.998166667,54.27575,136,Schleswig-Holstein,Windpark Gut Gaarz,2000,"22,8",13,Vestas V66-1.65MW(6×),Gut Gaarz,OH,54.27575,10.9981666666667,AT WP Gut Gaarz,
10.998166667,54.27575,137,Schleswig-Holstein,Windpark Gut Gaarz,2003,,,NEG Micon NM64c/1500(4×),,,54.27575,10.9981666666667,,
10.998166667,54.27575,138,Schleswig-Holstein,Windpark Gut Gaarz,2007,,,Enercon E-70(3×),,,54.27575,10.9981666666667,,
10.998166667,54.27575,139,Schleswig-Holstein,Windpark Gut Gaarz,2012,,,,,,54.27575,10.9981666666667,,
12.631388889,54.273055556,140,Mecklenburg-Vorpommern,Windpark Trinwillershagen,2003,"25,5",17,GE Wind Energy 1.5sl(17×),Wiepkenhagen,VR,54.2730555555556,12.6313888888889,WP Trinwillershagen,
